codigo_oferta;codigo_curso;nome_curso;grau_curso;turno_curso;numero_vagas;nome_campus;cidade_campus;uf_campus;nome_ies;sigla_ies;min_ciencias_natureza;peso_ciencias_natureza;min_ciencias_humanas;peso_ciencias_humanas;min_linguagens;peso_linguagens;min_matematica;peso_matematica;min_redacao;peso_redacao;media_minima
162887;1513995;CIÊNCIAS SOCIAIS;Licenciatura;Noturno;40;CAMPUS REALENGO II;Rio de Janeiro;RJ;COLÉGIO PEDRO II;;.01;1.00;.01;3.00;.01;2.00;.01;1.00;.01;2.00;.01
162886;1513993;FILOSOFIA;Licenciatura;Noturno;40;CAMPUS REALENGO II;Rio de Janeiro;RJ;COLÉGIO PEDRO II;;.01;1.00;.01;3.00;.01;2.00;.01;1.00;.01;2.00;.01
162889;1513994;GEOGRAFIA;Licenciatura;Noturno;40;CAMPUS REALENGO II;Rio de Janeiro;RJ;COLÉGIO PEDRO II;;.01;1.00;.01;3.00;.01;2.00;.01;1.00;.01;2.00;.01
162888;1513990;HISTÓRIA;Licenciatura;Noturno;40;CAMPUS REALENGO II;Rio de Janeiro;RJ;COLÉGIO PEDRO II;;.01;1.00;.01;3.00;.01;2.00;.01;1.00;.01;2.00;.01
176142;18864;ADMINISTRAÇÃO;Bacharelado;Integral;50;CEFET/RJ - UNIDADE MARACANÃ;Rio de Janeiro;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;453.30;2.00;444.70;1.00;453.80;1.00;432.40;4.00;300.00;3.00;418.04
176203;1304118;ADMINISTRAÇÃO;Bacharelado;Noturno;35;UNIDADE DESCENTRALIZADA DE VALENÇA;Valença;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;150.00;1.00;200.00;2.00;200.00;2.00;200.00;3.00;250.00;3.00;209.09
176155;1178662;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Integral;40;CEFET/RJ - UNIDADE MARACANÃ;Rio de Janeiro;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;453.30;2.00;444.70;1.00;453.80;1.00;438.40;4.00;300.00;3.00;418.04
176209;1363718;ENGENHARIA AMBIENTAL;Bacharelado;Integral;40;CEFET/RJ - UNIDADE MARACANÃ;Rio de Janeiro;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;453.30;4.00;444.70;1.00;453.80;1.00;438.40;4.00;300.00;3.00;418.04
176150;109902;ENGENHARIA CIVIL;Bacharelado;Integral;40;CEFET/RJ - UNIDADE MARACANÃ;Rio de Janeiro;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;453.30;4.00;444.70;1.00;453.80;1.00;438.40;4.00;300.00;3.00;418.04
176201;1272017;ENGENHARIA DE ALIMENTOS;Bacharelado;Integral;25;UNIDADE DESCENTRALIZADA DE VALENÇA;Valença;RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;200.00;1.00;100.00;1.00;200.00;2.00;200.00;2.00;200.00;2.00;160.00
